"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR"
"170";"Czapka uszatka Horze biała";"31048-WH-M";"6438076378954";"1";"biały";"M"
"170";"Czapka uszatka Horze biała";"31048-WH-S";"6438076378961";"0";"biały";"S"
"172";"Czapka uszatka Pikeur brązowa";"00957-FLIEGERMUTZE 1761-55";"4047182549589";"1";"brązowy";"55-57"
"172";"Czapka uszatka Pikeur brązowa";"00957-FLIEGERMUTZE 1761-55";"4047182549589";"1";"brązowy";"55-57"
"173";"Czapka uszatka Pikeur ecru";"00958-FLIEGERMUTZE 1760-55";"4047182553159";"1";"ecru";"55-57"
"173";"Czapka uszatka Pikeur ecru";"00958-FLIEGERMUTZE 1760-55";"4047182553159";"1";"ecru";"55-57"
"174";"Czapsy dziecięce Flex czarne";"2140";"4043969355510";"0";"czarny";"KL"
"174";"Czapsy dziecięce Flex czarne";"2140201-KM";"4043969355527";"1";"czarny";"KM"
"174";"Czapsy dziecięce Flex czarne";"2140501-KS";"4043969355534";"1";"czarny";"KS"
"175";"Czapsy Elastic Glamour czarne";"2140601-M";"4057962005549";"1";"czarny";"M"
"182";"Czapsy HKM Special czarne";"62239195.0677";"4000315620685";"1";"czarny";"XS"
"182";"Czapsy HKM Special czarne";"62239195.041";"4000315620654";"3";"czarny";"8"
"186";"Frak damski Pikeur Davita czarny";"DAVITA 525-38";"4055377167500";"0";"czarny";"38"
"186";"Frak damski Pikeur Davita czarny";"DAVITA 525-40";"4055377168941";"1";"czarny";"40"
"187";"Frak damski Pikeur Galdina granatowy";"02181-GALDINA 434-36";"4055377169016";"1";"granatowy";"36"
"187";"Frak damski Pikeur Galdina granatowy";"02182-GALDINA 434-38";"4055377101641";"1";"granatowy";"38"
"188";"Frak damski Pikeur Radina czarny";"02183-RADINA 525-36";"4047182797928";"1";"czarny";"36"
"188";"Frak damski Pikeur Radina czarny";"02184-RADINA 525-38";"4047182797935";"0";"czarny";"38"
"198";"Frak Horze młodzieżowy czarny";"33035-BL-128";"6438076209548";"1";"czarny";"128"
"199";"Frak Kerbl- Covalliero Corrada granatowy";"3284d";"4018653916995";"0";"granatowy";"140-146"
"199";"Frak Kerbl- Covalliero Corrada granatowy";"328489-152/158";"4018653917008";"1";"granatowy";"152-158"
"203";"Frak Pikeur Gaston II softshell granatowy";"02224-GASTON II 459-48";"4047182542399";"1";"granatowy";"48"
"203";"Frak Pikeur Gaston II softshell granatowy";"02225-GASTON II 459/50";"4047182542405";"1";"granatowy";"50"
"204";"Frak Pikeur Ghia II softshell granatowy";"02226-GHIA II 459-36";"5901646945944";"1";"granatowy";"36"
"205";"Frak Pikeur Gitana czarny";"02227-GITANA 2807-36";"4055377301171";"1";"czarny";"36"
"205";"Frak Pikeur Gitana czarny";"02228-GITANA 2807-38";"4055377301188";"0";"czarny";"38"
"206";"Frak Pikeur Gotha softshell czarny";"02229-GOTHA 435-36";"4047182695415";"1";"czarny";"36"
"207";"Frak Pikeur Grasco softshell czarny";"02230-GRASCO 435-52";"4047182697099";"1";"czarny";"52"
"212";"Frak Pikeur Sarissa II czarny";"02240-SARISSA II 2807-34";"4055377163977";"1";"czarny";"34"
"213";"Frak Pikeur Sarissa II granatowy";"02241-SARISSA II 2824-36";"4055377164134";"1";"granatowy";"36"
