id_product;name;reference;price;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"208";"Frak Pikeur Mayla jersey granatowy";"02231-MAYLA JUN 529-164";"527.642276";"0";"Pegaz";"1";"28829";"Fraki";"0";"0";"";"0";"1";
"211";"Frak Pikeur Sarissa II antracytowy";"02239-SARISSA II 2877-40";"812.195122";"0";"Pegaz";"1";"28836";"Fraki";"0";"0";"";"0";"1";
"213";"Frak Pikeur Sarissa II granatowy";"02241-SARISSA II 2824-36";"812.195122";"0";"Pegaz";"1";"28840";"Fraki";"0";"0";"";"0";"1";
"214";"Frak Start Florence softshell granatowy";"0010920021/NA/RE-38";"365.040650";"0";"Pegaz";"1";"27965";"Fraki";"0";"0";"";"0";"1";
"215";"Golf Pikeur Sina turkusowy";"02286-SINA 3623-S";"113.008130";"0";"Pegaz";"1";"28852";"Koszulki damskie";"0";"0";"";"0";"1";
"218";"Kamizelka bezpieczeństwa FP";"09952001000-M";"356.910569";"0";"Pegaz";"1";"29898";"Kamizelki ochronne / ochraniacze pleców";"0";"0";"";"0";"1";
"219";"Kamizelka bezpieczeństwa Pikeur damska";"02555-SICH.WESTE D.1003-L";"730.894309";"0";"Pegaz";"1";"28881";"Kamizelki ochronne / ochraniacze pleców";"0";"0";"";"0";"1";
"220";"Kamizelka bezpieczeństwa Pikeur męska";"02558-SICH.WESTE H.1003-L";"730.894309";"0";"Pegaz";"1";"28887";"Kamizelki ochronne / ochraniacze pleców";"0";"0";"";"0";"1";
"221";"Kamizelka bezpieczeństwa Pikeur młodzieżowa";"02562-SICH.WESTE K.1003-M";"649.593496";"0";"Pegaz";"1";"28891";"Kamizelki ochronne / ochraniacze pleców";"0";"0";"";"0";"1";
"222";"Kamizelka bezpieczeństwa Kerbl Protecto Flex Children";"323073-L";"405.691057";"0";"Pegaz";"1";"206";"Kamizelki ochronne / ochraniacze pleców";"0";"0";"";"0";"1";
"234";"Kask FP Elf Carbon Matt czarny";"05108108600-L";"243.089431";"0";"Pegaz";"1";"29325";"Kaski";"0";"0";"";"0";"1";
